id,name,full_date,fast_charger,slow_charger,total,year
1,강원,2020-12-01,2027,5657,7684,2020
2,경기,2020-12-01,232,915,1147,2020
3,경상,2020-12-01,595,1039,1634,2020
4,서울,2020-12-01,763,3268,4031,2020
5,인천,2020-12-01,1377,6220,7597,2020
6,전라,2020-12-01,980,3498,4478,2020
7,제주,2020-12-01,933,2374,3307,2020
8,충청,2020-12-01,1120,3716,4836,2020
9,강원,2021-06-01,3328,16619,19947,2021
10,경기,2021-06-01,425,2285,2710,2021
11,경상,2021-06-01,822,1898,2720,2021
12,서울,2021-06-01,1388,8534,9922,2021
13,인천,2021-06-01,2369,16087,18456,2021
14,전라,2021-06-01,1686,7330,9016,2021
15,제주,2021-06-01,1320,3366,4686,2021
16,충청,2021-06-01,1788,6633,8421,2021
17,강원,2021-12-01,3829,19977,23806,2021
18,경기,2021-12-01,523,3326,3849,2021
19,경상,2021-12-01,869,2295,3164,2021
20,서울,2021-12-01,1621,13236,14857,2021
21,인천,2021-12-01,2681,20211,22892,2021
22,전라,2021-12-01,1972,8678,10650,2021
23,제주,2021-12-01,1417,3526,4943,2021
24,충청,2021-12-01,2061,7819,9880,2021
25,강원,2022-06-01,4318,25500,29818,2022
26,경기,2022-06-01,614,4460,5074,2022
27,경상,2022-06-01,957,3015,3972,2022
28,서울,2022-06-01,1805,20585,22390,2022
29,인천,2022-06-01,2981,27577,30558,2022
30,전라,2022-06-01,2320,11415,13735,2022
31,제주,2022-06-01,1598,3648,5246,2022
32,충청,2022-06-01,2232,9988,12220,2022
33,강원,2022-12-01,5162,40920,46082,2022
34,경기,2022-12-01,819,8559,9378,2022
35,경상,2022-12-01,1179,5245,6424,2022
36,서울,2022-12-01,2211,31880,34091,2022
37,인천,2022-12-01,3649,46938,50587,2022
38,전라,2022-12-01,2793,19814,22607,2022
39,제주,2022-12-01,1850,4059,5909,2022
40,충청,2022-12-01,2694,15176,17870,2022
41,강원,2023-06-01,9974,49789,59763,2023
42,경기,2023-06-01,1053,11381,12434,2023
43,경상,2023-06-01,1569,6900,8469,2023
44,서울,2023-06-01,3145,38180,41325,2023
45,인천,2023-06-01,5541,58434,63975,2023
46,전라,2023-06-01,3679,24724,28403,2023
47,제주,2023-06-01,1959,4761,6720,2023
48,충청,2023-06-01,3457,19000,22457,2023
49,강원,2023-12-01,8788,58658,67446,2023
50,경기,2023-12-01,1287,14202,15489,2023
51,경상,2023-12-01,1960,8555,10515,2023
52,서울,2023-12-01,4079,44480,48559,2023
53,인천,2023-12-01,7434,69930,77364,2023
54,전라,2023-12-01,4566,29634,34200,2023
55,제주,2023-12-01,2068,5463,7531,2023
56,충청,2023-12-01,4220,22824,27044,2023
97,강원,2024-06-01,10220,70422,80642,2024
98,경기,2024-06-01,1617,17852,19469,2024
99,경상,2024-06-01,2171,10306,12477,2024
100,서울,2024-06-01,4656,52099,56755,2024
101,인천,2024-06-01,9235,88933,98168,2024
102,전라,2024-06-01,5544,36595,42139,2024
103,제주,2024-06-01,2206,5808,8014,2024
104,충청,2024-06-01,5312,28560,33872,2024
145,강원,2024-12-01,11345,79228,90573,2024
146,경기,2024-12-01,1836,20513,22349,2024
147,경상,2024-12-01,2337,11481,13818,2024
148,서울,2024-12-01,4545,56070,60615,2024
149,인천,2024-12-01,10112,102272,112384,2024
150,전라,2024-12-01,6232,41015,47247,2024
151,제주,2024-12-01,2297,6264,8561,2024
152,충청,2024-12-01,5872,32713,38585,2024
