id,name,full_date,allcar,year,total
1,서울,2020-06-01,3141710,2020,38894476
2,인천,2020-06-01,1665497,2020,38894476
3,경기,2020-06-01,5885065,2020,38894476
4,강원,2020-06-01,795954,2020,38894476
11,제주,2020-06-01,606379,2020,38894476
12,서울,2020-12-01,3157361,2020,38894476
13,인천,2020-12-01,1676442,2020,38894476
14,경기,2020-12-01,6004126,2020,38894476
15,강원,2020-12-01,809099,2020,38894476
22,제주,2020-12-01,615342,2020,38894476
23,서울,2021-06-01,3162985,2021,39912467
24,인천,2021-06-01,1677134,2021,39912467
25,경기,2021-06-01,6107399,2021,39912467
26,강원,2021-06-01,817883,2021,39912467
33,제주,2021-06-01,638146,2021,39912467
34,서울,2021-12-01,3176743,2021,39912467
35,인천,2021-12-01,1675405,2021,39912467
36,경기,2021-12-01,6204452,2021,39912467
37,강원,2021-12-01,828146,2021,39912467
44,제주,2021-12-01,658594,2021,39912467
45,서울,2022-06-01,3187333,2022,40897974
46,인천,2022-06-01,1698725,2022,40897974
47,경기,2022-06-01,6296728,2022,40897974
48,강원,2022-06-01,839342,2022,40897974
55,제주,2022-06-01,676710,2022,40897974
56,서울,2022-12-01,3193351,2022,40897974
57,인천,2022-12-01,1692760,2022,40897974
58,경기,2022-12-01,6378632,2022,40897974
59,강원,2022-12-01,851553,2022,40897974
66,제주,2022-12-01,689924,2022,40897974
67,서울,2023-06-01,3192434,2023,41699405
68,인천,2023-06-01,1712666,2023,41699405
69,경기,2023-06-01,6461422,2023,41699405
70,강원,2023-06-01,861361,2023,41699405
77,제주,2023-06-01,696873,2023,41699405
78,서울,2023-12-01,3191162,2023,41699405
79,인천,2023-12-01,1730839,2023,41699405
80,경기,2023-12-01,6525098,2023,41699405
81,강원,2023-12-01,866640,2023,41699405
88,제주,2023-12-01,703291,2023,41699405
89,서울,2024-06-01,3187055,2024,42267947
90,인천,2024-06-01,1743821,2024,42267947
91,경기,2024-06-01,6583777,2024,42267947
92,강원,2024-06-01,871904,2024,42267947
99,제주,2024-06-01,708315,2024,42267947
100,서울,2024-12-01,3176933,2024,42267947
101,인천,2024-12-01,1747927,2024,42267947
102,경기,2024-12-01,6645518,2024,42267947
103,강원,2024-12-01,874655,2024,42267947
110,제주,2024-12-01,715445,2024,42267947
156,충청,2020-06-01,1988543,2020,38894476
157,충청,2020-12-01,2015465,2020,38894476
158,충청,2021-06-01,2040924,2021,39912467
159,충청,2021-12-01,2068651,2021,39912467
160,충청,2022-06-01,2097143,2022,40897974
161,충청,2022-12-01,2127932,2022,40897974
162,충청,2023-06-01,2161024,2023,41699405
163,충청,2023-12-01,2181715,2023,41699405
164,충청,2024-06-01,2205902,2024,42267947
165,충청,2024-12-01,2222457,2024,42267947
171,경상,2020-06-01,3208951,2020,38894476
172,경상,2020-12-01,3263256,2020,38894476
173,경상,2021-06-01,3299980,2021,39912467
174,경상,2021-12-01,3331249,2021,39912467
175,경상,2022-06-01,3370421,2022,40897974
176,경상,2022-12-01,3420429,2022,40897974
177,경상,2023-06-01,3463535,2023,41699405
178,경상,2023-12-01,3477780,2023,41699405
179,경상,2024-06-01,3507973,2024,42267947
180,경상,2024-12-01,3534754,2024,42267947
186,전라,2020-06-01,2013245,2020,38894476
187,전라,2020-12-01,2048041,2020,38894476
188,전라,2021-06-01,2092574,2021,39912467
189,전라,2021-12-01,2132202,2021,39912467
190,전라,2022-06-01,2162299,2022,40897974
191,전라,2022-12-01,2214692,2022,40897974
192,전라,2023-06-01,2230663,2023,41699405
193,전라,2023-12-01,2242902,2023,41699405
194,전라,2024-06-01,2260696,2024,42267947
195,전라,2024-12-01,2280815,2024,42267947
